"X","Y","Pb","Elevation","Slope","Aspect","Plan.Curvature","Profile.Curvature","TWI","MRVBF","MRRTF","Population","Landuse"
254410,656750,96.5,92.09999847,0.050946079,0.446106493,0.006282347,0.000278575,9.081377983,1.86346674,0.286233306,2297,4
256110,675140,63.1,82.80000305,0.037981756,3.141592741,-0.021052614,-0.00023948,7.975018501,1.784188747,1.412238836,97,4
254280,654800,72.3,147.5,0.054150373,0.916225433,-0.001304328,-8.89e-05,8.717805862,0.372252494,2.819988728,389,4
255070,655710,35.5,106,0.021928173,0.422851384,0.002153775,-2.72e-05,10.13202095,2.980939627,0.605198801,2375,4
256100,656080,25,106.1999969,0.019310754,5.912294865,-0.000949539,-4.16e-05,9.367602348,2.834889174,0.228817582,1979,21
253250,674740,16.7,101.6999969,0.128367737,1.173025489,0.005550175,-0.00040621,8.35662365,0.777699053,0.026864719,1453,3
253100,657090,102.5,107.0999985,0.032268882,6.000630379,0.006383064,-4.6e-05,8.900218964,0.024632094,2.920691252,871,21
252790,673830,33.8,144.3000031,0.090624504,0.419341892,-0.001442969,-0.000581651,7.609461784,0.171223313,1.260917306,1306,21
255190,657220,48.9,83.80000305,0.032376923,4.55739212,0.013839486,-0.000467499,8.048866272,1.950515747,0.105804957,1124,4
257670,655860,131.4,82.40000153,0.054653797,5.028358936,-0.003910547,-0.001160844,8.638268471,3.396652699,0.008287031,147,1
253240,656830,61.1,101.1999969,0.033003144,2.528384447,0.005010164,-0.000524555,9.152290344,2.394417286,0.687700212,3525,21
255650,674220,63.3,48.79999924,0.034971442,5.742765903,0.008070522,0.000157358,9.338979721,2.876330137,1.632609844,2833,21
253990,657230,92.6,87.19999695,0.067572668,0.974596679,0.002402406,-0.000399835,8.81022644,2.879773378,0.178120792,871,21
254720,675760,481.8,66.90000153,0.081215054,3.24003911,-0.000951042,0.000373691,8.367425919,2.758174181,0.223770276,1301,1
254260,673280,305,70,0.024994794,2.498091459,0.005375986,5.59e-06,9.865021706,2.617314339,1.972604513,2228,21
254670,654620,38.6,135,0.019206991,0.896056652,-0.064348564,-0.000183802,9.380103111,2.690962076,0.006421127,389,4
253800,674290,126.6,81.40000153,0.091450214,0.321750015,-0.003707486,0.000454257,8.788599014,0.6868276,0.179953888,1453,3
253280,675290,119.3,110.6999969,0.056402549,1.170555234,-0.002852416,-0.000317428,8.157354355,0.880251884,0.199069932,446,21
253210,673690,45.7,106.5999985,0.047166668,2.506564856,-0.005737273,-0.000567295,7.999158859,1.850487828,0.061227851,2546,21
255240,673350,5001,56.20000076,0.13932693,0.4030191,0.012429579,0.001958864,7.507143021,0.260773331,0.318783522,1937,21
255420,673670,55.5,37.59999847,0.041413028,1.915443897,-0.011436644,-0.000225523,8.326052666,1.937136054,0.028955501,1937,21
